Давление атм возд, hPa           ;0.149585
Температура воздуха, градус С    ;0.196045
Температура воды, градус C       ;0.169554
Запах, баллы                     ;0.243981
Цветность, градусы               ;0.041415
Мутность, ЕМФ                   ;-0.099035
Жобщ, мг-экв/л                   ;0.197586
Кальций, мг/л                   ;-0.097744
Магний, мг/л                     ;0.164327
Гидрокарбонаты, мг-экв/л        ;-0.063441
Хлориды, мг/л                    ;0.216827
Кислотность, мг-экв/л            ;0.222833
Щелочность, мг-экв/л             ;0.176624
pH                               ;0.078708
УЭП, мСм/см                      ;0.195517
Растворённый_кислород, мгО2/л   ;-0.130547
Растворённый_кислород, %         ;0.367979
БПК5, мгО2/л                     ;0.335563
ПО, мгО/л                       ;-0.137043
Аммоний, мг/л                    ;0.173336
Нитриты, мг/л                   ;-0.072288
Сульфаты, мг/л                   ;0.193438
Железо_общее, мг/л               ;0.193090
Фосфаты, мг/л                    ;0.409652
Индекс ITS                       ;0.493339
Хемотаксис (индекс)              ;0.174547
Нитраты мг/л                    ;-0.237924
